,name,year,imdb,number_votes,age_rating,genres,directors
0,Uncharted 4: A Thief's End,2016,9.5,17731,14,"Action, Adventure, Drama",Neil Druckmann
1,Wiedzmin 3: Dziki Gon,2015,9.7,16155,16,"Action, Adventure, Drama",Konrad Tomaszkiewicz
2,Red Dead Redemption II,2018,9.7,15483,18,"Action, Adventure, Crime",Benjamin Byron Davis
3,God of War,2018,9.6,12785,18,"Action, Adventure, Drama",Cory Barlog
4,Batman: Arkham Knight,2015,9.0,12558,16,"Action, Adventure, Crime",Sefton Hill
5,Until Dawn,2015,8.9,10088,none,"Horror, Mystery, Thriller",Will Byles
6,Fallout 4,2015,8.7,9491,none,"Action, Adventure, Drama",Todd Howard
7,Spider-Man,2018,9.3,9247,12,"Action, Adventure, Fantasy",Ryan Smith
8,Detroit: Become Human,2018,9.3,8642,16,"Drama, Sci-Fi, Thriller",David Cage
9,Life Is Strange,2015,8.9,8451,16,"Adventure, Drama, Mystery",Raoul Barbet
10,Horizon Zero Dawn,2017,9.2,7052,none,"Action, Adventure, Fantasy",Mathijs de Jonge
11,Rise of the Tomb Raider,2015,8.6,6154,none,"Action, Adventure, Drama",Neil Huxley
12,Metal Gear Solid V: The Phantom Pain,2015,8.9,5338,none,"Action, Adventure, Crime",Hideo Kojima
13,The Witcher 3: Wild Hunt - Blood and Wine,2016,9.8,4802,none,"Action, Adventure, Crime",Konrad Tomaszkiewicz
14,Call of Duty: Black Ops III,2015,6.9,4776,14,"Action, Adventure, Horror",Jason Blundell
15,Battlefield 1,2016,8.2,4486,none,"Action, Adventure, Drama",Lars Gustavsson
16,Assassin's Creed: Syndicate,2015,8.0,4179,none,"Action, Adventure, Crime",Scott Phillips
17,Assassin's Creed: Origins,2017,8.7,4176,16,"Action, Adventure, Drama",Laurent Bernier
18,The Witcher 3: Wild Hunt - Hearts of Stone,2015,9.6,3939,none,"Action, Adventure, Crime",Konrad Tomaszkiewicz
19,Mass Effect: Andromeda,2017,6.6,3895,16,"Action, Adventure, Sci-Fi",Mac Walters
20,Uncharted: The Lost Legacy,2017,8.6,3779,none,"Action, Adventure, Drama",Shaun Escayg
21,Resident Evil 7: Biohazard,2017,8.7,3699,16,"Action, Adventure, Horror",Koushi Nakanishi
22,Star Wars: Battlefront,2015,6.7,3616,none,"Action, Fantasy, Sci-Fi",Hez Chorba
23,Zeruda no densetsu: Buresu obu za wairudo,2017,9.4,3576,none,"Action, Adventure, Family",Hidemaro Fujibayashi
24,Far Cry 5,2018,8.1,3573,18,"Action, Adventure, Drama",Patrick Methe
25,Doom,2016,8.6,3467,none,"Action, Adventure, Horror",Marty Stratton
26,Call of Duty: WWII,2017,7.9,3444,none,"Action, Adventure, Drama",Michael Condrey
27,Wolfenstein II: The New Colossus,2017,7.9,3320,none,"Action, Adventure, Drama",Fredrik Ljungdahl
28,Overwatch,2016,8.5,3249,12,"Action, Adventure, Family",Jeffrey Kaplan
29,Star Wars: Battlefront II,2017,6.6,3013,12,"Action, Adventure, Fantasy",Hez Chorba
30,Uncharted: The Nathan Drake Collection,2015,9.4,2971,none,"Action, Adventure, Fantasy",Amy Hennig
31,Star Wars Jedi: Fallen Order,2019,8.9,2943,none,"Action, Adventure, Fantasy",Stig Asmussen
32,Fortnite,2017,4.7,2822,12,"Action, Adventure, Comedy",Darren Sugg
33,Bloodborne,2015,9.2,2798,none,"Action, Adventure, Fantasy",Hidetaka Miyazaki
34,Call of Duty: Infinite Warfare,2016,6.1,2738,none,"Action, Adventure, Sci-Fi",Brian Bloom
35,Death Stranding,2019,9.1,2717,16,"Action, Adventure, Drama",Hideo Kojima
36,Assassin's Creed: Odyssey,2018,8.6,2704,18,"Action, Adventure, Fantasy",Jonathan Dumont
37,Mortal Kombat X,2015,8.4,2580,18,"Action, Adventure, Fantasy",Dominic Cianciolo
38,Dying Light,2015,8.2,2542,16,"Action, Horror, Thriller",Adrian Ciszewski
39,Resident Evil 2,2019,9.2,2535,16,"Action, Horror, Thriller",Yasuhiro Anpo
40,Mafia III,2016,7.0,2417,none,"Action, Adventure, Crime",Haden Blackman
41,Firewatch,2016,8.3,2384,none,"Adventure, Drama, Mystery",Jake Rodkin
42,Batman: The Telltale Series,2016,8.1,2373,16,"Action, Crime, Drama",Mark Droste
43,Shadow of the Tomb Raider,2018,8.1,2339,16,"Action, Adventure, Fantasy",Remi Lacoste
44,Mad Max,2015,7.9,2242,none,"Action, Adventure, Drama",Frank Rooke
45,Injustice 2,2017,8.8,2164,14,"Action, Adventure, Fantasy",Ed Boon
46,Life Is Strange: Before the Storm,2017,8.0,2145,18,"Adventure, Drama, Mystery",William Beacham
47,Watch Dogs 2,2016,7.6,2135,16,"Action, Adventure, Comedy",Danny Bélanger
48,Dark Souls III,2016,9.1,2131,14,"Action, Adventure, Fantasy",Hidetaka Miyazaki
49,Halo 5: Guardians,2015,7.4,2056,14,"Action, Adventure, Family",Brien Goodrich
50,Super Mario Odyssey,2017,9.0,2048,Livre,"Action, Adventure, Family",Kenta Motokura
51,The Walking Dead: The Game - Season 3,2016,7.8,2043,none,"Action, Adventure, Drama",Rebekah Gamin
52,Far Cry Primal,2016,7.4,2024,18,"Action, Adventure, History",Jean-Christophe Guyot
53,Destiny 2,2017,7.6,1995,none,"Action, Adventure, Fantasy",Christopher Barrett
54,Titanfall 2,2016,8.6,1879,16,"Action, Sci-Fi, War",Steve Fukuda
55,Hellblade: Senua's Sacrifice,2017,8.9,1874,18,"Action, Adventure, Fantasy",Tameem Antoniades
56,Rocket League,2015,8.0,1869,Livre,"Action, Family, Sci-Fi",Thomas Silloway
57,Battlefield: Hardline,2015,6.5,1828,none,"Action, Adventure, Crime",Ian Milham
58,Days Gone,2019,8.5,1783,16,"Action, Adventure, Drama",John Garvin
59,Final Fantasy XV,2016,8.3,1773,none,"Action, Adventure, Fantasy",Hajime Tabata
60,Inside,2016,8.9,1761,none,"Adventure, Sci-Fi, Thriller",Arnt Jensen
61,Dishonored 2,2016,8.4,1728,none,"Action, Adventure, Fantasy",Raphael Colantonio
62,The Order: 1886,2015,7.4,1671,none,"Action, Adventure, Fantasy",Dana Jan
63,Undertale,2015,8.9,1591,10,"Adventure, Comedy, Drama",Toby Fox
64,Call of Duty: Modern Warfare,2019,8.7,1581,none,Action,Chad Michael Collins
65,Just Cause 3,2015,7.2,1547,16,"Action, Adventure, Crime",Roland Lesterlin
66,Rainbow Six: Siege,2015,8.0,1524,none,"Action, Crime, Thriller",Angela Bassett
67,Wolfenstein: The Old Blood,2015,7.8,1497,none,"Action, Adventure, Horror",Brian Bloom
68,Persona 5,2016,9.4,1495,14,"Adventure, Crime, Fantasy",Katsura Hashino
69,The Division,2016,7.4,1443,16,"Action, Adventure",Magnus Jansén
70,What Remains of Edith Finch,2017,8.8,1435,14,"Adventure, Drama, Mystery",Ian Dallas
71,Terra-Média: Sombras da Guerra,2017,8.4,1406,none,"Action, Adventure, Fantasy",JB Blanc
72,Hitman,2016,8.1,1392,none,"Action, Adventure, Crime",Ryan Barnard
73,The Evil Within 2,2017,8.4,1390,18,"Action, Adventure, Drama",John Johanas
74,Deus Ex: Mankind Divided,2016,8.0,1390,none,"Action, Drama, Mystery",Jean-François Dugas
75,NieR: Automata,2017,9.0,1344,12,"Action, Adventure, Sci-Fi",Yoko Taro
76,Call of Duty: Black Ops 4,2018,5.8,1321,none,"Action, Adventure, Sci-Fi",Jason Blundell
77,Mortal Kombat 11,2019,7.4,1256,18,"Action, Adventure, Fantasy",Ed Boon
78,Outlast 2,2017,7.7,1250,18,"Horror, Mystery, Thriller",Alex Weiner
79,Super Smash Bros. Ultimate,2018,9.1,1230,none,"Action, Adventure, Family",Masahiro Sakurai
80,Call of Duty: Modern Warfare Remastered,2016,8.4,1229,none,"Action, Adventure, Thriller",Jason West
81,Gears of War 4,2016,7.9,1219,none,"Action, Adventure, Fantasy",Rod Fergusson
82,Quantum Break,2016,7.8,1206,16,"Action, Crime, Mystery",Mikael Kasurinen
83,Ratchet & Clank,2016,8.3,1189,10,"Animation, Action, Adventure",Brian Allgeier
84,Kingdom Hearts III,2019,8.7,1185,10,"Action, Adventure, Comedy",Tetsuya Nomura
85,PlayerUnknown's Battlegrounds,2017,6.7,1171,16,"Action, Adventure, Thriller",Brendan Greene
86,The Walking Dead: Michonne,2016,7.2,1163,none,"Action, Adventure, Horror",Kent Mudle
87,Ghost Recon: Wildlands,2017,7.8,1121,16,Action,Laurent Bernier
88,Soma,2015,8.5,1103,none,"Horror, Mystery, Sci-Fi",Jared Zeus
89,Mario Kart 8 Deluxe,2017,8.7,1101,none,"Action, Adventure, Family",Yusuke Shiraiwa
90,South Park: The Fractured But Whole,2017,8.4,1087,18,"Animation, Action, Adventure",Chris 'Crispy' Brion
91,Battlefield V,2018,5.3,1070,none,"Action, War",Pelle Hallert
