,name,year,imdb,number_votes,age_rating,runtime,genres,actors
0,Stranger Things,(2016– ),8.8,696983,14,51,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, Natalia Dyer"
1,Westworld,(2016– ),8.7,371983,16,62,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandie Newton"
2,Demolidor,(2015–2018),8.6,341150,18,54,"Action, Crime, Drama","Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll, Elden Henson"
3,Narcos,(2015–2017),8.8,315111,16,49,"Biography, Crime, Drama","Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann"
4,Mr. Robot: Sociedade Hacker,(2015–2019),8.5,302330,16,49,"Crime, Drama, Thriller","Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström"
5,Better Call Saul,(2015– ),8.7,266742,14,46,"Crime, Drama","Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian"
6,Os 13 Porquês,(2017– ),7.8,230335,16,60,"Drama, Mystery","Dylan Minnette, Katherine Langford, Christian Navarro, Alisha Boe"
7,La Casa de Papel,(2017– ),8.5,183251,16,70,"Action, Crime, Mystery","Úrsula Corberó, Itziar Ituño, Álvaro Morte, Pedro Alonso"
8,Jessica Jones,(2015–2019),8.0,183147,16,56,"Action, Crime, Drama","Krysten Ritter, Rachael Taylor, Eka Darville, Carrie-Anne Moss"
9,The Witcher,(2019– ),8.5,180642,16,474,"Action, Adventure, Drama","Henry Cavill, Freya Allan, Anya Chalotra, Mimi Ndiweni"
10,Lúcifer,(2015– ),8.2,178852,16,42,"Crime, Drama, Fantasy","Tom Ellis, Lauren German, Kevin Alejandro, Lesley-Ann Brandt"
11,Caçador de Mentes,(2017– ),8.6,172096,16,60,"Crime, Drama, Thriller","Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross"
12,O Justiceiro,(2017–2019),8.5,162264,18,53,"Action, Adventure, Crime","Jon Bernthal, Amber Rose Revah, Ben Barnes, Jason R. Moore"
13,Dark,(2017– ),8.7,156494,16,60,"Crime, Drama, Mystery","Karoline Eichhorn, Louis Hofmann, Jördis Triebel, Maja Schöne"
14,O Conto da Aia,(2017– ),8.5,144715,16,60,"Drama, Sci-Fi, Thriller","Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd"
15,A Maldição da Residência Hill,(2018– ),8.7,135418,16,50,"Drama, Horror, Mystery","Henry Thomas, Oliver Jackson-Cohen, Kate Siegel, Victoria Pedretti"
16,Big Little Lies,(2017– ),8.5,130000,16,60,"Crime, Drama, Mystery","Reese Witherspoon, Nicole Kidman, Shailene Woodley, Zoë Kravitz"
17,Sense8,(2015–2018),8.3,128737,18,60,"Drama, Mystery, Sci-Fi","Doona Bae, Jamie Clayton, Tina Desai, Tuppence Middleton"
18,The Boys,(2019– ),8.8,123277,18,60,"Action, Comedy, Crime","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty"
19,Ozark,(2017– ),8.3,119266,16,60,"Crime, Drama, Thriller","Jason Bateman, Laura Linney, Julia Garner, Sofia Hublitz"
20,The End of the F***ing World,(2017–2019),8.1,116470,16,25,"Adventure, Comedy, Crime","Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley"
21,Altered Carbon,(2018– ),8.1,114141,18,60,"Action, Drama, Sci-Fi","Chris Conner, Renée Elise Goldsberry, Joel Kinnaman, James Purefoy"
22,The Mandalorian,(2019– ),8.8,113450,none,30,"Action, Adventure, Sci-Fi","Pedro Pascal, Carl Weathers, Rio Hackford, Gina Carano"
