,name,year,imdb,number_votes,age_rating,runtime,genres,directors,actors
0,Stranger Things,(2016– ),8.8,696429,14,51,"Drama, Fantasy, Horror",Millie Bobby Brown,"Finn Wolfhard, Winona Ryder, Natalia Dyer, none"
1,Westworld,(2016– ),8.7,371808,16,62,"Drama, Mystery, Sci-Fi",Evan Rachel Wood,"Jeffrey Wright, Ed Harris, Thandie Newton, none"
2,Demolidor,(2015–2018),8.6,341081,18,54,"Action, Crime, Drama",Charlie Cox,"Vincent D'Onofrio, Deborah Ann Woll, Elden Henson, none"
3,Narcos,(2015–2017),8.8,314936,16,49,"Biography, Crime, Drama",Pedro Pascal,"Wagner Moura, Boyd Holbrook, Alberto Ammann, none"
4,Mr. Robot: Sociedade Hacker,(2015–2019),8.5,302033,16,49,"Crime, Drama, Thriller",Rami Malek,"Christian Slater, Carly Chaikin, Martin Wallström, none"
5,Better Call Saul,(2015– ),8.7,266622,14,46,"Crime, Drama",Bob Odenkirk,"Rhea Seehorn, Jonathan Banks, Patrick Fabian, none"
6,Os 13 Porquês,(2017– ),7.8,230260,16,60,"Drama, Mystery",Dylan Minnette,"Katherine Langford, Christian Navarro, Alisha Boe, none"
7,Jessica Jones,(2015–2019),8.0,183108,16,56,"Action, Crime, Drama",Krysten Ritter,"Rachael Taylor, Eka Darville, Carrie-Anne Moss, none"
8,La Casa de Papel,(2017– ),8.5,183042,16,70,"Action, Crime, Mystery",Úrsula Corberó,"Itziar Ituño, Álvaro Morte, Pedro Alonso, none"
9,Lúcifer,(2015– ),8.2,178600,16,42,"Crime, Drama, Fantasy",Tom Ellis,"Lauren German, Kevin Alejandro, Lesley-Ann Brandt, none"
10,The Witcher,(2019– ),8.5,177660,16,474,"Action, Adventure, Drama",Henry Cavill,"Freya Allan, Anya Chalotra, Mimi Ndiweni, none"
11,Caçador de Mentes,(2017– ),8.6,171850,16,60,"Crime, Drama, Thriller",Jonathan Groff,"Holt McCallany, Anna Torv, Hannah Gross, none"
12,O Justiceiro,(2017–2019),8.5,162183,18,53,"Action, Adventure, Crime",Jon Bernthal,"Amber Rose Revah, Ben Barnes, Jason R. Moore, none"
13,Dark,(2017– ),8.7,156318,16,60,"Crime, Drama, Mystery",Karoline Eichhorn,"Louis Hofmann, Jördis Triebel, Maja Schöne, none"
14,O Conto da Aia,(2017– ),8.5,144595,16,60,"Drama, Sci-Fi, Thriller",Elisabeth Moss,"Yvonne Strahovski, Joseph Fiennes, Ann Dowd, none"
15,A Maldição da Residência Hill,(2018– ),8.7,135222,16,50,"Drama, Horror, Mystery",Henry Thomas,"Oliver Jackson-Cohen, Kate Siegel, Victoria Pedretti, none"
16,Big Little Lies,(2017– ),8.5,129882,16,60,"Crime, Drama, Mystery",Reese Witherspoon,"Nicole Kidman, Shailene Woodley, Zoë Kravitz, none"
17,Sense8,(2015–2018),8.3,128715,18,60,"Drama, Mystery, Sci-Fi",Doona Bae,"Jamie Clayton, Tina Desai, Tuppence Middleton, none"
